Item,Reference(s),Value,Quantity,Description,PartNumber,Vendor
1,ARDUINO1,ARDUINO_MEGA,1,BOARD MCU MEGA2560,1050-1018-ND,digikey
2,C1 C2 C3,10uF,3,CAP CER 10UF 50V 10% X7S 1210,445-4536-1-ND,digikey
3,D1,diode_schottky_45V_10A,1,DIODE SCHOTTKY 45V 10A CFP15,568-11697-1-ND,digikey
4,L1,LED_24V,1,LED 2MM 24V VERTICAL RED PC MNT,350-1723-ND,digikey
5,P1,PWR_JACK_2.5x5.5,1,CONN PWR JACK DC 2.5X5.5 8A T/H,CP-063BH-ND,digikey
6,P2 P3 P4 P5,HEADER_01X03_SMD_RA,4,CONN HEADER 3POS R/A SMD GOLD,A100890CT-ND,digikey
7,P6,HEADER_01X02_SMD_RA,1,CONN HEADER 2POS R/A SMD GOLD,A100903CT-ND,digikey
8,P7,BNC_DOUBLE_RA,1,CONN BNC JACK R/A 75 OHM PCB,ACX1655-ND,digikey
9,REG1,CONV_DC_DC_9V_1A,1,CONV DC/DC 1A 9V OUT SIP VERT,945-1396-5-ND,digikey
10,SW1,SPST_SLIDE_AS,1,SWITCH SLIDE SPST 0.4VA 28V,360-2610-ND,digikey
